Paragrahp,Type,Text,ChoiceY,ChoiceN
0,0,게임을 시작합니다.,0,0
0,1,[시작(y) / 종료(n)],1,10
1,0,선택에 따라서 미래가 바뀝니다.,0,0
1,1,[시작(y) / 종료(n)],2,10
2,0,당신의 선택은?,0,0
2,1,[공부(y) / 휴식(n) / 종료(Esc)],3,3
3,0,당신의 선택은?,0,0
3,1,[공부(y) / 휴식(n) / 종료(Esc)],5,6 
4,0,당신의 선택은?,0,0
4,1,[공부(y) / 휴식(n) / 종료(Esc)],7,8
5,0,Ending 01,0,0
5,0,하루종일 공부만 했군요! 성적이 잘 나올거에요,0,0
5,1,[Final(y/n) / 종료(Esc)],9,9
6,0,Ending 02,0,0
6,0,적당한 공부와 적당한 휴식이었어요,0,0
6,1,[Final(y/n) / 종료(Esc)],9,9
7,0,Ending 03,0,0
7,0,적당한 공부와 적당한 휴식이었어요,0,0
7,1,[Final(y/n) / 종료(Esc)],9,9
8,0,Ending 04,0,0
8,0,너무 많이 쉰건 아닌가요?,0,0
8,1,[Final(y/n) / 종료(Esc)],9,9
9,0,게임종료,0,0
9,1,[다시하기(y) / 시작화면으로(n) / 종료(Esc)],1,0
10,0,게임을 종료합니다.0,0
10,2,The End,0,0
